POSLOG: Task 2 started for participant
POSLOG: Task 2.1 started with visuals: True
POSLOG: X: -200.5, Y:-5.899971, Z: 52.11
POSLOG: X: -200.5808, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6486, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6486, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6486, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6486, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6486, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6486, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6486, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6486, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6486, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6486, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6486, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6486, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6486, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6486, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6486, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6486, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6486, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6486, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6486, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6486, Y:-5.899971, Z: 52.11
POSLOG: X: -200.6486, Y:-5.899971, Z: 52.11
POSLOG: Task 2.2 started with visuals: True
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: X: -389.4, Y:-5.899971, Z: 62.39
POSLOG: Task 3 started for participant
POSLOG: Task 3.1 started with visuals: True
POSLOG: X: -215.77, Y:-5.86, Z: 38.88
POSLOG: X: -215.8625, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: X: -215.9501, Y:-5.86, Z: 38.88
POSLOG: Task 3.2 started with visuals: True
POSLOG: X: -229.3, Y:-5.899971, Z: 67.1
POSLOG: X: -229.3, Y:-5.899971, Z: 67.1
POSLOG: X: -229.3, Y:-5.899971, Z: 67.1
POSLOG: X: -229.3, Y:-5.899971, Z: 67.1
POSLOG: X: -229.3, Y:-5.899971, Z: 67.1
POSLOG: X: -229.3, Y:-5.899971, Z: 67.1
