POSLOG: Task 2 started for participant
POSLOG: Task 2.1 started with visuals: False
POSLOG: X: -200.5, Y:-4.919981, Z: 52.11
POSLOG: X: -200.6358, Y:-4.917552, Z: 52.07307
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.6997, Y:-4.917552, Z: 52.06996
POSLOG: X: -200.7125, Y:-4.917552, Z: 52.07048
POSLOG: X: -200.7315, Y:-4.917552, Z: 52.07127
POSLOG: X: -200.7555, Y:-4.917552, Z: 52.07225
POSLOG: X: -200.7806, Y:-4.917552, Z: 52.07328
POSLOG: X: -200.8053, Y:-4.917552, Z: 52.0743
POSLOG: X: -200.8289, Y:-4.917552, Z: 52.07527
POSLOG: X: -200.8568, Y:-4.917552, Z: 52.07642
POSLOG: X: -200.8843, Y:-4.917552, Z: 52.07755
POSLOG: X: -200.9125, Y:-4.917552, Z: 52.07871
POSLOG: X: -200.9424, Y:-4.917552, Z: 52.07994
POSLOG: X: -200.9724, Y:-4.917552, Z: 52.08118
POSLOG: X: -201.0017, Y:-4.917552, Z: 52.08238
POSLOG: X: -201.0336, Y:-4.917552, Z: 52.08369
POSLOG: X: -201.064, Y:-4.917552, Z: 52.08495
POSLOG: X: -201.0952, Y:-4.917552, Z: 52.08623
POSLOG: X: -201.1254, Y:-4.917552, Z: 52.08746
POSLOG: X: -201.1576, Y:-4.917552, Z: 52.08876
POSLOG: X: -201.1967, Y:-4.917552, Z: 52.09035
POSLOG: X: -201.2571, Y:-4.917552, Z: 52.0928
POSLOG: X: -201.2577, Y:-4.917552, Z: 52.09282
POSLOG: X: -201.2714, Y:-4.917552, Z: 52.09338
POSLOG: X: -201.2932, Y:-4.917552, Z: 52.07143
POSLOG: X: -201.3086, Y:-4.917552, Z: 52.04228
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02998
POSLOG: X: -201.3151, Y:-4.917552, Z: 52.02997
