POSLOG: Task 2 started for participant
POSLOG: Task 2.1 started with visuals: False
POSLOG: X: -200.5, Y:-4.919981, Z: 52.11
POSLOG: X: -200.7061, Y:-4.917552, Z: 52.15067
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7459, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
POSLOG: X: -200.7458, Y:-4.917552, Z: 52.15852
