POSLOG: Task 3.1 started with visuals: False
POSLOG: X: -215.77, Y:-4.917552, Z: 38.88
POSLOG: X: -215.935, Y:-4.917552, Z: 38.9212
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92602
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92601
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92601
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92601
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92601
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92601
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92601
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92601
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92601
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92601
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92601
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92601
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92601
POSLOG: X: -215.9543, Y:-4.917552, Z: 38.92601
